postcode,nitrate
27628,223.66666666666666
31603,162.0
27404,156.0
38124,155.0
29565,135.0
48499,128.0
38459,124.0
31228,120.0
26219,113.22
21717,110.56666666666666
38176,106.0
27245,99.81333333333333
38442,99.7
48465,97.4
26835,95.23333333333329
27243,93.0
38690,93.0
27386,91.0
21629,90.0
26901,88.72
27252,86.22
49740,84.396
21702,84.13333333333333
38368,84.10000000000001
38542,84.1
38165,84.1
31275,84.1
21220,83.0
31234,81.6
49843,81.40696969696971
49377,80.22
27333,79.7
27248,79.7
31608,78.1
49577,74.88
29488,74.376
29614,73.67999999999999
26605,72.4
49681,71.86500000000001
27721,70.8
38120,70.8
49847,70.5
26180,68.72
31595,68.72
49696,67.72
38179,66.4
31311,66.4
30539,66.08
31558,62.215
27367,62.0
49811,62.0
27356,61.75000000000001
27232,61.086666666666666
27211,60.81333333333333
27607,59.908000000000015
31619,58.879999999999995
30559,57.76666666666667
49429,57.635000000000005
27313,57.6
21435,55.7
29348,55.333333333333336
49828,53.879999999999995
49824,53.22
30966,53.1
31226,53.1
37620,53.1
49143,49.1
49191,49.0
38704,48.7
49401,48.40555555555555
28857,48.04666666666666
21279,47.166666666666664
49134,47.0
31246,44.3
38464,44.0
49777,42.269999999999996
49201,42.0
28832,41.6
49661,41.19499999999999
31737,40.699999999999996
49356,38.626666666666665
26197,37.464
21646,37.199999999999996
31303,36.96
49179,35.626666666666665
48455,35.186666666666675
49448,34.5
21789,34.239999999999995
49451,34.1
31535,33.83
49326,32.333333333333336
31135,31.5
31860,31.4
29394,30.39333333333333
27476,29.7
37197,29.7
37434,28.3
21391,27.580000000000002
26899,27.4
49205,27.0
38518,26.77
21769,26.676666666666666
49774,26.35
38239,25.2
49419,24.8
38324,23.7375
31621,23.4
27305,22.336
30938,20.706666666666667
31020,20.4
49626,19.8
26817,19.557142857142857
49688,18.82
49324,17.75
49080,17.7
37120,17.433333333333334
49176,17.0
31749,16.95
49170,16.919999999999998
38723,16.71857142857143
31039,14.9
26441,14.719999999999999
27616,14.24
31167,14.0
49219,13.969999999999999
49832,13.86
29643,13.52
29365,12.8
49124,12.5
27798,12.235
27389,12.169999999999998
21400,12.116
21218,12.0
30519,11.9
31812,10.865714285714287
38315,10.843999999999998
37170,10.833333333333334
49838,10.729999999999999
38173,10.6
37139,10.6
31855,9.74
49424,9.475999999999999
49624,9.169999999999998
49393,9.097777777777777
49565,8.852307692307692
27412,8.41
34355,7.53
37136,7.53
49413,7.239999999999999
37075,7.086666666666667
31632,6.870000000000001
26845,6.76
31089,6.7
29393,6.64
31091,6.2
38707,5.99
0,5.9719999999999995
31636,5.76
37194,5.31
21644,5.31
31840,5.3
38104,5.283333333333333
27777,5.246666666666666
31157,5.0
49593,4.87
49733,4.87
37186,4.43
38551,4.38
26529,4.12
27804,4.07
49744,3.857142857142858
29345,3.41
37520,3.36
27729,3.19
38524,3.045
21385,3.0059999999999993
26345,2.94
38154,2.9
31195,2.9
29640,2.831818181818182
29587,2.79
26548,2.7
31848,2.66
26571,2.5
49635,2.48
38667,2.39
29358,2.12
27478,2.08
27801,2.035
37647,2.0
26969,1.9899999999999998
37639,1.77
38312,1.74
30175,1.63
26553,1.55
38470,1.27
37589,1.17
49599,1.1633333333333336
31655,1.1
38536,1.018
26465,1.0
30659,1.0
30455,1.0
30419,1.0
30173,1.0
26160,0.9457142857142858
49152,0.905
26388,0.8933333333333332
26954,0.88
30890,0.8
49456,0.7949999999999999
26909,0.775
26655,0.75
48480,0.73
38471,0.71
49434,0.66
21436,0.616
26939,0.55
26169,0.5366666666666667
21423,0.5
26409,0.49750000000000016
26632,0.48
26826,0.45499999999999996
26487,0.44999999999999996
29556,0.44000000000000006
29578,0.44000000000000006
27711,0.44000000000000006
21379,0.44000000000000006
31637,0.44000000000000006
29494,0.44000000000000006
28870,0.44000000000000006
49163,0.44
49762,0.44
49406,0.44
49757,0.44
31552,0.44
31604,0.44
49328,0.44
26349,0.44
49716,0.44
26340,0.44
31622,0.44
26316,0.44
26215,0.44
26209,0.44
49453,0.44
26203,0.44
49584,0.44
26188,0.44
26133,0.44
49685,0.44
31547,0.44
49699,0.44
49849,0.44
31088,0.44
29308,0.44
29482,0.44
29475,0.44
28816,0.44
30952,0.44
28865,0.44
29473,0.44
29331,0.44
29571,0.44
27318,0.44
27383,0.44
27321,0.44
27327,0.44
29459,0.44
29378,0.44
29484,0.44
29646,0.44
27374,0.44
26871,0.44
26676,0.44
26683,0.44
27726,0.44
27793,0.44
26935,0.44
29683,0.44
29664,0.44
29649,0.44
26907,0.44
26919,0.44
26931,0.44
29361,0.44
49835,0.369
21256,0.33199999999999996
21272,0.27
21775,0.22
21710,0.22
21723,0.22
21765,0.22
21770,0.22
21785,0.22
26831,0.22
26759,0.22
26736,0.22
26725,0.22
26446,0.22
27619,0.22
